ID,Bucket,Title,Decision Type,Trigger Criteria,Requirement,Justification,Parent Decision IDs,Baseline Bundle ID,Rule Classification,Mapping Status,Mapping Rationale,Source Version,Source URL,Source Match
VCF-AUTO-REQD-CFG-008,AUTO,Cloud Zone Grouping,Required,hldPlacementGovernance=CLOUD_ZONES,Group vCenter compute clusters into VCF Automation Cloud Zones by SLA or purpose.,Allows fine-grained placement policies for developer blueprints targeting specific hardware tiers.,DEC-AUTO-001; DEC-AUTO-002,BL-SOL-001,DECISION_LED,MAPPED,Cloud zone grouping when placement governance is CLOUD_ZONES.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-009,AUTO,Automation Sizing,Required,availabilityModel=HA; productionSizing=true,Deploy VCF Automation nodes using the standard Large form factor for production use.,Provides adequate CPU and memory for concurrent blueprint provisioning and API rate limits.,DEC-AUTO-001; DEC-AVAIL-002; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-AVAIL-002, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-010,AUTO,Certificates,Required,ALWAYS,Implement CA-signed certificates for the VCF Automation Load Balancer VIP and all nodes.,Secures API endpoints and prevents browser trust warnings for end users accessing the catalog.,DEC-AUTO-001; DEC-ID-002; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-ID-002, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-011,AUTO,No Placement Governance Overlay,Required,hldPlacementGovernance=NONE,Do not enforce Cloud Assembly cloud-zone or tag-based placement overlays; rely on default project/zone assignment.,Explicit NONE preserves exportability when automation is in scope but placement overlays are deferred.,DEC-AUTO-001; DEC-AUTO-002,BL-SOL-001,DECISION_LED,MAPPED,Activated when placement governance is NONE.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x.html,prefix:VCF-AUTO-
VCF-AUTO-REQD-CFG-003,AUTO,VCF Automation Database/NTP,Required,ALWAYS,Configure Automation nodes with external NTP and verify database sync requirements.,Ensures orchestration logs and time-based deployment policies execute accurately.,DEC-AUTO-001; DEC-NET-003; DEC-AUTO-002,BL-SOL-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-AUTO-001, DEC-NET-003, DEC-AUTO-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/external-services-design.html,title-hint
VCF-WLD-REQD-CFG-001,CORE,Management Domain Deployment,Required,ALWAYS,Deploy a management domain to host all management components for the VCF instance.,Guarantees sufficient resources for management components and isolates them from tenant workloads.,DEC-ARCH-001,BL-ARCH-001,INHERIT_PARENT_SCOPE,MAPPED,Required after parent decision DEC-ARCH-001 activates this domain or solution.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/management-domain-deployment-model.html,exact-id
VCF-WLD-REQD-CFG-002,CORE,Dedicated VI Workload Domain,Required,"hldArchitectureModel IN [STANDARD,DISAGGREGATED]",Deploy dedicated VI workload domains for tenant applications.,Isolates tenant workloads from management infrastructure and applies distinct security and performance profiles.,DEC-ARCH-002,BL-ARCH-001,DECISION_LED,MAPPED,Activated when platform architecture is Standard or Disaggregated (dedicated VI workloaddomain).,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/workload-domain-deployment-model.html,exact-id
VCF-WLD-REQD-CFG-003,CORE,Consolidated Architecture,Required,hldArchitectureModel=CONSOLIDATED,Deploy a consolidated management domain if resource requirements do not warrant dedicated VI domains.,Reduces hardware footprint for smaller environments while maintaining full VCF operational capabilities.,DEC-ARCH-002,BL-ARCH-001,DECISION_LED,MAPPED,Activated when platform architecture is Consolidated.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/management-domain-deployment-model.html,exact-id
VCF-WLD-REQD-CFG-004,CORE,Single SSO Domain,Required,"hldIdentityMode IN [EMBEDDED,APPLIANCE,THREE_NODE_HA]",Use a single vSphere Single Sign-On (SSO) domain per VCF instance.,Streamlines authentication and identity management across the entire VMware Cloud Foundation environment.,DEC-ID-001,BL-ARCH-001,DECISION_LED,MAPPED,Single SSO domain required for all Identity Broker modes (EMBEDDED / APPLIANCE / THREE_NODE_HA).,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models.html,prefix:VCF-WLD-
VCF-WLD-REQD-CFG-005,CORE,Domain Naming Standard,Required,ALWAYS,Use standard naming conventions without special characters for workload domains.,Prevents deployment and API integration errors during automated provisioning workflows.,DEC-WLD-001,BL-ARCH-001,BASELINE,MAPPED,Inherited BL-ARCH-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models.html,prefix:VCF-WLD-
VCF-WLD-REQD-CFG-006,CORE,Disaggregated Architecture Boundary,Required,hldArchitectureModel=DISAGGREGATED,Separate compute and storage scale units with explicit capacity and failure-domain boundaries between clusters.,Disaggregated VCF topologies require distinct planning for storage clusters versus compute VI domains so growth and failure domains stay independent.,DEC-ARCH-002; DEC-STG-001,BL-ARCH-001,DECISION_LED,MAPPED,Activated when platform architecture is Disaggregated.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/workload-domain-deployment-model.html,prefix:VCF-WLD-
VCF-SDDCMGR-REQD-CFG-001,CORE,SDDC Manager Placement,Required,ALWAYS,Deploy an SDDC Manager system in the first availability zone of the management domain.,SDDC Manager is required to perform VCF lifecycle capabilities and domain provisioning.,DEC-ARCH-001; DEC-ARCH-002,BL-MGMT-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-ARCH-001, DEC-ARCH-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/management-domain-deployment-model.html,prefix:VCF-SDDCMGR-
VCF-SDDCMGR-REQD-CFG-002,CORE,SDDC Manager Network,Required,ALWAYS,Place the SDDC Manager appliance on the VM management network.,Simplifies IP addressing for management VMs by using the same VLAN and subnet.,DEC-ARCH-001; DEC-ARCH-002,BL-MGMT-001,BASELINE,MAPPED,Inherited BL-MGMT-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/management-domain-deployment-model.html,prefix:VCF-SDDCMGR-
VCF-SDDCMGR-REQD-CFG-003,CORE,SDDC Manager Backup,Required,ALWAYS,Configure file-based backup for the SDDC Manager appliance using an external SFTP server.,Ensures rapid recovery of the central orchestrator in the event of severe management domain failure.,DEC-ARCH-001; DEC-ARCH-002; DEC-PROT-001; DEC-PROT-002,BL-MGMT-001,BASELINE,MAPPED,Inherited BL-MGMT-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-blueprints-for/security-modernization/vcf-backup-and-restore.html,title-hint
VCF-SDDCMGR-REQD-CFG-004,CORE,SDDC Manager NTP,Required,ALWAYS,Configure SDDC Manager to use external NTP sources.,Maintains strict time synchronization across the entire SDDC stack required for certificate validity and logs.,DEC-ARCH-001; DEC-ARCH-002; DEC-NET-003,BL-MGMT-001,BASELINE,MAPPED,Inherited BL-MGMT-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/external-services-design.html,title-hint
VCF-SDDCMGR-REQD-CFG-005,CORE,SDDC Manager Sizing,Required,ALWAYS,Do not alter the default vCPU and RAM configuration of the SDDC Manager appliance.,Broadcom validates the default appliance sizing; manual changes may impact lifecycle automation performance.,DEC-ARCH-001; DEC-ARCH-002; DEC-AVAIL-002,BL-MGMT-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-ARCH-001, DEC-ARCH-002, DEC-AVAIL-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/workload-domain-deployment-models/management-domain-deployment-model.html,prefix:VCF-SDDCMGR-
VCF-VC-REQD-CFG-001,CORE,Management vCenter Server,Required,ALWAYS,Deploy a dedicated vCenter Server in the Management Domain.,Isolates control plane operations from tenant workload domain vCenters.,DEC-ARCH-002; DEC-WLD-001,BL-VC-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-ARCH-002, DEC-WLD-001 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vsphere-detailed-design/vcenter-design.html,prefix:VCF-VC-
VCF-VC-REQD-CFG-002,CORE,Workload Domain vCenter,Required,ALWAYS,Deploy a dedicated vCenter Server for each Virtual Infrastructure (VI) Workload Domain.,Maintains isolation and limits fault domains across separate tenant environments.,DEC-ARCH-002; DEC-WLD-001,BL-VC-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-ARCH-002, DEC-WLD-001 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vsphere-detailed-design/vcenter-design.html,prefix:VCF-VC-
VCF-VC-REQD-CFG-003,CORE,vCenter High Availability,Required,ALWAYS,Protect the Management vCenter using vSphere HA rather than vCenter Server High Availability (VCHA).,Reduces complexity and overhead; vSphere HA provides sufficient automated recovery for the management plane.,DEC-ARCH-002; DEC-WLD-001; DEC-AVAIL-002,BL-VC-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-ARCH-002, DEC-WLD-001, DEC-AVAIL-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vsphere-detailed-design/vcenter-design.html,prefix:VCF-VC-
VCF-VC-REQD-CFG-004,CORE,vCenter File-Based Backup,Required,ALWAYS,Configure file-based backup for all vCenter Server instances via SFTP/FTPS/SMB.,Enables seamless bare-metal restoration of vCenter without relying on external snapshot dependencies.,DEC-ARCH-002; DEC-WLD-001; DEC-PROT-001; DEC-PROT-002,BL-VC-001,BASELINE,MAPPED,Inherited BL-VC-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vsphere-detailed-design/vcenter-design.html,prefix:VCF-VC-
VCF-VC-REQD-CFG-005,CORE,vCenter Appliance Sizing,Required,ALWAYS,Size the vCenter Server appliance based on the anticipated host and VM count.,Ensures adequate inventory tracking and API responsiveness for large-scale environments.,DEC-ARCH-002; DEC-WLD-001; DEC-AVAIL-002,BL-VC-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-ARCH-002, DEC-WLD-001, DEC-AVAIL-002 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vsphere-detailed-design/vcenter-design.html,prefix:VCF-VC-
VCF-CLS-REQD-CFG-001,CORE,Cluster Services Minimums,Required,ALWAYS,"Deploy minimum 4 hosts for management cluster, 3 for VI workload domains.",Ensures N-1 availability and meets vSAN fault tolerance minimums.,DEC-AVAIL-002,BL-COMP-001,INHERIT_PARENT_SCOPE,MAPPED,Required after parent decision DEC-AVAIL-002 activates this domain or solution.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/cluster-models.html,prefix:VCF-CLS-
VCF-CLS-REQD-CFG-002,CORE,Cluster High Availability,Required,ALWAYS,Enable vSphere HA and DRS in fully automated mode on all clusters.,Provides dynamic load balancing and automated recovery without manual intervention.,DEC-AVAIL-002,BL-COMP-001,INHERIT_PARENT_SCOPE,MAPPED,Required after parent decision DEC-AVAIL-002 activates this domain or solution.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/cluster-models.html,prefix:VCF-CLS-
VCF-CLS-RCMD-CFG-001,CORE,Enhanced vMotion Compatibility,Recommended,ALWAYS,Enable EVC at the cluster level.,Allows for seamless vMotion as physical host hardware is upgraded over time.,DEC-ARCH-002,BL-COMP-001,BASELINE,MAPPED,Inherited BL-COMP-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/cluster-models.html,prefix:VCF-CLS-
VCF-CLS-REQD-CFG-003,CORE,Lifecycle Management,Required,"hldLifecycleStrategy IN [ROLLING,LIVE_PATCH]",Use vSphere Lifecycle Manager (vLCM) with a single image per cluster.,Ensures strict host configuration consistency across the cluster.,DEC-LCM-001,BL-COMP-001,DECISION_LED,MAPPED,Advanced lifecycle (rolling / live patch) controls when strategy is not STANDARD.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/cluster-models.html,prefix:VCF-CLS-
VCF-CLS-REQD-CFG-004,CORE,Standard Lifecycle Cadence,Required,hldLifecycleStrategy=STANDARD,Operate lifecycle updates on the standard SDDC Manager cadence without rolling or live-patch concurrency models.,STANDARD strategy keeps BOM and concurrency simpler; capturing it ensures the dropdown always maps an ID.,DEC-LCM-001,BL-COMP-001,DECISION_LED,MAPPED,Activated when lifecycle strategy is STANDARD.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/cluster-models.html,prefix:VCF-CLS-
VCF-NET-REQD-CFG-001,CORE,Uplink Configuration,Required,ALWAYS,Do not use EtherChannel (LAG LACP or vPC) configuration for ESXi host uplinks.,Simplifies top-of-rack switch configuration. Teaming options in vDS provide sufficient load balancing.,DEC-NET-006,BL-NET-001,INHERIT_PARENT_SCOPE,MAPPED,Required after parent decision DEC-NET-006 activates this domain or solution.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/network-designs.html,title-hint
VCF-NET-REQD-CFG-002,CORE,Jumbo Frames,Required,ALWAYS,Configure jumbo frames (MTU 9000) on all ESXi host physical network adapters.,Optimizes performance for vSAN storage replication and NSX GENEVE overlay traffic.,DEC-NET-003; DEC-NET-006,BL-NET-001,INHERIT_PARENT_SCOPE,MAPPED,"Required after parent decision DEC-NET-003, DEC-NET-006 activates this domain or solution.",VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/network-designs.html,title-hint
VCF-NET-REQD-CFG-003,CORE,Management VLAN,Required,ALWAYS,Allocate a dedicated untagged or tagged VLAN for ESXi management traffic.,Ensures unhindered access to host management interfaces regardless of NSX state.,DEC-NET-003; DEC-NET-006,BL-NET-001,BASELINE,MAPPED,Inherited BL-NET-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/network-designs.html,title-hint
VCF-NET-REQD-CFG-004,CORE,vMotion Network,Required,ALWAYS,Place vMotion traffic on a dedicated non-routable VLAN.,Isolates unencrypted memory transfers and prevents security vulnerabilities across host boundaries.,DEC-ARCH-002,BL-NET-001,BASELINE,MAPPED,Inherited BL-NET-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/network-designs.html,prefix:VCF-NET-
VCF-NET-REQD-CFG-005,CORE,vSAN Network Isolation,Required,ALWAYS,Configure vSAN traffic on a dedicated isolated VLAN with no default gateway.,Maximizes storage replication performance and prevents storage traffic from leaking into the corporate WAN.,DEC-ARCH-002,BL-NET-001,BASELINE,MAPPED,Inherited BL-NET-001 control; retained without presenting it as a questionnaire branch.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/network-designs.html,prefix:VCF-NET-
VCF-HCX-REQD-CFG-001,CORE,HCX Manager Placement,Required,derivedHcx=true,Deploy the HCX Manager appliance in the management domain of both the source and destination sites.,Provides the control plane for hybrid cloud workload mobility and network extension.,DEC-MOB-001,BL-SOL-001,DECISION_LED,MAPPED,Activated by derivedHcx=true; governed by DEC-MOB-001.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/workload-mobility/getting-started-with-vmware-hcx-vcf-9-0/introduction-to-hcx-site-manager-deployments/hcx-connector-and-hcx-cloud-sites.html,prefix:VCF-HCX-
VCF-HCX-REQD-CFG-002,CORE,HCX Compute Profile,Required,derivedHcx=true,Configure an HCX Compute Profile that includes all ESXi hosts intended for workload migration.,Authorizes specific clusters to participate in HCX Service Mesh deployments.,DEC-MOB-001,BL-SOL-001,DECISION_LED,MAPPED,Activated by derivedHcx=true; governed by DEC-MOB-001.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/workload-mobility/getting-started-with-vmware-hcx-vcf-9-0/introduction-to-hcx-site-manager-deployments/hcx-connector-and-hcx-cloud-sites.html,prefix:VCF-HCX-
VCF-HCX-REQD-CFG-003,CORE,HCX Network Extension (L2 Stretch),Required,derivedHcx=true,Use HCX Network Extension appliances to stretch Layer 2 networks between sites during migration.,Allows VMs to retain their IP addresses and MAC addresses when migrating across locations.,DEC-MOB-001,BL-SOL-001,DECISION_LED,MAPPED,Activated by derivedHcx=true; governed by DEC-MOB-001.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/workload-mobility/getting-started-with-vmware-hcx-vcf-9-0/introduction-to-hcx-site-manager-deployments/hcx-connector-and-hcx-cloud-sites.html,prefix:VCF-HCX-
VCF-HCX-REQD-CFG-004,CORE,HCX Service Mesh,Required,derivedHcx=true,"Deploy an HCX Service Mesh consisting of Interconnect, WAN Optimization, and Network Extension appliances.","Establishes the data plane required for optimized, secure, and high-throughput workload mobility.",DEC-MOB-001,BL-SOL-001,DECISION_LED,MAPPED,Activated by derivedHcx=true; governed by DEC-MOB-001.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/workload-mobility/getting-started-with-vmware-hcx-vcf-9-0/introduction-to-hcx-site-manager-deployments/hcx-connector-and-hcx-cloud-sites.html,prefix:VCF-HCX-
VCF-CERT-REQD-CFG-001,CORE,Enterprise CA Integration,Required,"hldCaModel IN [MICROSOFT_CA,OPENSSL,ENTERPRISE_PKI]",Configure SDDC Manager to integrate directly with an Enterprise Certificate Authority (Microsoft CA or custom).,"Automates the generation, signing, and rotation of certificates across all VCF components.",DEC-ID-002,BL-SEC-001,DECISION_LED,MAPPED,Enterprise CA integration for non-VMCA certificate authorities.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/single-sign-on-models.html,title-hint
VCF-CERT-REQD-CFG-002,CORE,VMCA Subordinate Configuration,Required,hldCaModel=VMCA,Configure the vCenter Server VMCA as a subordinate CA to the Enterprise Root CA.,Allows vCenter to automatically issue trusted certificates to ESXi hosts without manual intervention.,DEC-ID-002,BL-SEC-001,DECISION_LED,MAPPED,VMCA subordinate configuration when CA model is VMCA.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/single-sign-on-models.html,title-hint
VCF-BKP-REQD-CFG-001,CORE,Centralized SFTP Server Placement,Required,ALWAYS,"Deploy a highly available, centralized SFTP server outside of the VCF management domain.","Provides a resilient, external repository for native file-based backups of SDDC Manager, vCenter, and NSX Manager.",DEC-ARCH-002,BL-PROT-001,INHERIT_PARENT_SCOPE,MAPPED,Required after parent decision DEC-ARCH-002 activates this domain or solution.,VCF 9.1,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-blueprints-for/security-modernization/vcf-backup-and-restore.html,title-hint
