Component,Availability,Size,Nodes,vCPU,RAM (GB),Disk (GB),Location,Required,Fleet DR,Design_IDs,Funnel_CFG_IDs,Doc_Ref,Considerations,Source_URL,Notes
Workload Domain Security Services Platform,HA,Medium,9,122,444,4806,Security Serices Platform Workload Domain,No,No,DES-SSP-VALIDATE; DES-OPTIONAL-DAYN; DES-PNP,,DES-SSP-VALIDATE,DES-SSP-VALIDATE: SSP node counts/sizes change by release — validate against current Broadcom SSP sizing before SoW. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain Security Services Platform,HA,Large,12,170,636,5830,Security Serices Platform Workload Domain,No,No,DES-SSP-VALIDATE; DES-OPTIONAL-DAYN; DES-PNP,,DES-SSP-VALIDATE,DES-SSP-VALIDATE: SSP node counts/sizes change by release — validate against current Broadcom SSP sizing before SoW. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain Security Services Platform,HA,X-Large,14,202,764,7366,Security Serices Platform Workload Domain,No,No,DES-SSP-VALIDATE; DES-OPTIONAL-DAYN; DES-PNP,,DES-SSP-VALIDATE,DES-SSP-VALIDATE: SSP node counts/sizes change by release — validate against current Broadcom SSP sizing before SoW. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Cloud Proxy,HA,Base,1,4,16,264,VCF Fleet Components,Yes,Yes,VCF-OPS-REQD-COM-003; DES-PNP; DES-PROXY-HA,VCF-EDGE-REQD-PAT-009,VCF-OPS-REQD-COM-003,VCF-OPS-REQD-COM-003: Deploy cloud proxy in default mgmt cluster to offload local metric/log collection. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-PROXY-HA: Cloud Proxy: 1× Standard in HA Fleet models (still single appliance unless scaled).,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-operations.html,
Cloud Proxy,Simple,Small,1,4,16,264,VCF Fleet Components,No,Yes,VCF-OPS-REQD-COM-003; DES-PNP; DES-PROXY-SIMPLE,VCF-EDGE-REQD-PAT-009,VCF-OPS-REQD-COM-003,VCF-OPS-REQD-COM-003: Deploy cloud proxy in default mgmt cluster to offload local metric/log collection. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-PROXY-SIMPLE: Cloud Proxy: 1× Small in Simple Fleet model.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-operations.html,migrated from 'Cloud Proxy - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
VCF Automation,HA,Medium,3,72,288,1002,VCF Fleet Components,No,Redeploy,VCF-AUTO-REQD-HA-001; DES-PNP,VCF-AUTO-REQD-CFG-001;VCF-AUTO-REQD-CFG-002;VCF-AUTO-REQD-CFG-003;VCF-AUTO-REQD-CFG-006;VCF-AUTO-REQD-CFG-009;VCF-AUTO-REQD-CFG-010,VCF-AUTO-REQD-HA-001,VCF-AUTO-REQD-HA-001: HA Automation: three-node cluster (Medium/Large node sizes); optional external LB. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x/vcf-automation-high-availability-deployment-model.html,
VCF Automation,HA,Large,3,96,384,1290,VCF Fleet Components,No,Redeploy,VCF-AUTO-REQD-HA-001; DES-PNP,VCF-AUTO-REQD-CFG-001;VCF-AUTO-REQD-CFG-002;VCF-AUTO-REQD-CFG-003;VCF-AUTO-REQD-CFG-006;VCF-AUTO-REQD-CFG-009;VCF-AUTO-REQD-CFG-010,VCF-AUTO-REQD-HA-001,VCF-AUTO-REQD-HA-001: HA Automation: three-node cluster (Medium/Large node sizes); optional external LB. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x/vcf-automation-high-availability-deployment-model.html,
VCF Automation,Simple,Small,1,24,96,717,VCF Fleet Components,No,Redeploy,VCF-AUTO-REQD-SIM-001; VCF-AUTO-REQD-SIM-002; DES-PNP,VCF-AUTO-REQD-CFG-001;VCF-AUTO-REQD-CFG-003;VCF-AUTO-REQD-CFG-004;VCF-AUTO-REQD-CFG-010,VCF-AUTO-REQD-SIM-001,VCF-AUTO-REQD-SIM-001: Simple Automation: single node (defaults to small appliance); know scale/perf limits before production. | VCF-AUTO-REQD-SIM-002: Protect Automation Simple node with vSphere HA. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-automation-deployment-models-9-x/vcf-automation-simple-deployment-model.html,migrated from 'VCF Automation - Simple'; Size was Simple → Small; Availability=Simple
VCF Operations,HA,Medium,3,48,144,822,VCF Fleet Components,Yes,Protect,VCF-OPS-REQD-COM-001; DES-PNP; DES-FLEET-HA,VCF-OPS-REQD-CFG-001;VCF-OPS-REQD-CFG-002;VCF-OPS-REQD-CFG-003;VCF-OPS-REQD-CFG-004;VCF-OPS-REQD-CFG-005;VCF-OPS-REQD-CFG-006;VCF-OPS-REQD-CFG-007;VCF-OPS-REQD-CFG-008,VCF-OPS-REQD-COM-001,VCF-OPS-REQD-COM-001: Fleet management components run on VCF management services in default mgmt cluster. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-operations.html,
VCF Operations,HA,Large,3,72,384,822,VCF Fleet Components,No,Protect,VCF-OPS-REQD-COM-001; DES-PNP; DES-FLEET-HA,VCF-OPS-REQD-CFG-001;VCF-OPS-REQD-CFG-002;VCF-OPS-REQD-CFG-003;VCF-OPS-REQD-CFG-004;VCF-OPS-REQD-CFG-005;VCF-OPS-REQD-CFG-006;VCF-OPS-REQD-CFG-007;VCF-OPS-REQD-CFG-008,VCF-OPS-REQD-COM-001,VCF-OPS-REQD-COM-001: Fleet management components run on VCF management services in default mgmt cluster. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-operations.html,Required cleared (non-default HA size)
VCF Operations,Simple,Small,1,4,16,274,VCF Fleet Components,No,Protect,VCF-OPS-REQD-COM-001; DES-PNP; VCF-OPS-REQD-SIM-001; DES-FLEET-SIMPLE,VCF-OPS-REQD-CFG-001;VCF-OPS-REQD-CFG-002;VCF-OPS-REQD-CFG-003;VCF-OPS-REQD-CFG-004,VCF-OPS-REQD-COM-001,VCF-OPS-REQD-COM-001: Fleet management components run on VCF management services in default mgmt cluster. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | VCF-OPS-REQD-SIM-001: Simple Ops: single analytics node in default mgmt cluster; no app-level HA; size to object scale. | DES-FLEET-SIMPLE: Fleet Simple footprint: prefer single-node appliances where model allows (lab/PoC/minimal).,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-blueprints-for/infrastructure-modernization/vcf-fleet-in-a-single-site-with-minimal-footprint-blueprint/management-domain-design-selections/operations-layer/simple-vcf-operations-model.html,migrated from 'VCF Operations - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
Management Domain NSX Edges,HA,Small,2,4,8,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain NSX Edges,HA,Medium,2,8,16,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain NSX Edges,HA,Large,2,16,64,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain NSX Edges,HA,X-Large,2,32,128,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain NSX Managers (Local / Global),HA,Medium,3,18,72,900,VCF Management Domain,Yes,Yes,DES-NSX-HA; DES-FLEET-HA; DES-PNP,VCF-NSX-LM-REQD-CFG-001;VCF-NSX-LM-REQD-CFG-002;VCF-NSX-LM-REQD-CFG-004;VCF-NSX-LM-REQD-CFG-005,DES-NSX-HA,DES-NSX-HA: HA NSX: 3 managers (Medium or Large per scale); needs host count for anti-affinity + VIP. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain NSX Managers (Local / Global),HA,Large,3,36,144,900,VCF Management Domain,No,Yes,DES-NSX-HA; DES-FLEET-HA; DES-PNP,VCF-NSX-LM-REQD-CFG-001;VCF-NSX-LM-REQD-CFG-002;VCF-NSX-LM-REQD-CFG-004;VCF-NSX-LM-REQD-CFG-005,DES-NSX-HA,DES-NSX-HA: HA NSX: 3 managers (Medium or Large per scale); needs host count for anti-affinity + VIP. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,Required cleared (non-default HA size)
Management Domain NSX Managers (Local / Global),Simple,Small,1,6,24,300,VCF Management Domain,No,Yes,DES-NSX-SIMPLE; DES-FLEET-SIMPLE; DES-PNP,VCF-NSX-LM-REQD-CFG-001;VCF-NSX-LM-REQD-CFG-005,DES-NSX-SIMPLE,DES-NSX-SIMPLE: Simple NSX: 1× Medium manager (not a 3-node cluster). | DES-FLEET-SIMPLE: Fleet Simple footprint: prefer single-node appliances where model allows (lab/PoC/minimal). | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'Management Domain NSX Managers (Simple)'; Size was Simple → Small; Availability=Simple; aligned to HA NSX component name '(Local / Global)'; Required cleared (was Yes on Simple)
Management Domain Virtual Network Appliances,HA,Small,2,4,8,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain Virtual Network Appliances,HA,Medium,2,8,16,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain Virtual Network Appliances,HA,Large,2,16,64,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain Virtual Network Appliances,HA,X-Large,2,32,128,400,VCF Management Domain,No,Yes,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain vCenter,HA,Medium,1,8,30,1658,VCF Management Domain,Yes,Yes,DES-VC-HA; DES-FLEET-HA; DES-PNP,VCF-VC-REQD-CFG-001;VCF-VC-REQD-CFG-003;VCF-VC-REQD-CFG-005,DES-VC-HA,"DES-VC-HA: vCenter Medium/Large per Fleet sizing; single VC appliance (availability via vSphere HA, not a 3-node VC cluster). | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.",https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Management Domain vCenter,HA,Large,1,16,39,3088,VCF Management Domain,No,Yes,DES-VC-HA; DES-FLEET-HA; DES-PNP,VCF-VC-REQD-CFG-001;VCF-VC-REQD-CFG-003;VCF-VC-REQD-CFG-005,DES-VC-HA,"DES-VC-HA: vCenter Medium/Large per Fleet sizing; single VC appliance (availability via vSphere HA, not a 3-node VC cluster). | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.",https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,Required cleared (non-default HA size)
Management Domain vCenter,Simple,Small,1,4,8,1519,VCF Management Domain,No,Yes,DES-VC-SIMPLE; DES-FLEET-SIMPLE; DES-PNP,VCF-VC-REQD-CFG-001;VCF-VC-REQD-CFG-003;VCF-VC-REQD-CFG-005,DES-VC-SIMPLE,DES-VC-SIMPLE: Simple vCenter: Small appliance class per Fleet Simple model. | DES-FLEET-SIMPLE: Fleet Simple footprint: prefer single-node appliances where model allows (lab/PoC/minimal). | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'Management Domain vCenter - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
Identity Broker,HA,Base,3,24,48,150,VCF Management Services,Yes,Restore,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-HA-001,VCF-AUTO-REQD-CFG-004,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,
